,aeronave_ano_fabricacao,aeronave_nivel_dano,aeronave_fatalidades_total,fator_area,ocorrencia_classificacao,ocorrencia_dia,idade_aeronave,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_hora,timestamp,rain,windspeed_100m
45331,2001.0,NENHUM,0.0,FATOR OPERACIONAL,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR HUMANO,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR HUMANO,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR HUMANO,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR HUMANO,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR OPERACIONAL,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR HUMANO,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR HUMANO,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR OPERACIONAL,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR HUMANO,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR OPERACIONAL,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
45331,2001.0,NENHUM,0.0,FATOR HUMANO,ACIDENTE,06/01/2012,11.0,-46.4730555556,-23.4355555556,13:44:00,2012-06-01 13:00:00,0.0,11.4
